node_id,x_coord,y_coord
0,1520490.25911812,1001811.7658626881
1,1520508.1035592265,1001574.2806416991
2,1520497.3132266798,1001831.677090245
3,1520516.1419013452,1002059.0802958879
4,1522628.4189703073,1001783.6292627663
5,1522647.9234120192,1001991.4807418329
6,1522633.6592022246,1001769.6468617776
7,1522843.7343904607,1001751.3794541049
8,1522613.8819772291,1001777.1425491582
9,1522421.3033535783,1001770.2970325642
10,1522619.697814807,1001764.3179959427
11,1522600.360402821,1001527.4856598623
12,1521884.9456327804,1000629.3483717883
13,1522386.748944309,1000621.7184372467
14,1521876.1147161375,1000622.4639946881
15,1522102.8122475464,1000143.5202413051
16,1521883.6604490865,1000639.1030010341
17,1522097.0356852121,1000937.82833161
18,1521865.0699566638,1000636.693810951
19,1521289.877174337,1000647.8818652346
20,1520454.3427225365,1000479.7025904737
21,1521270.2930261076,1000576.5131657763
22,1520440.3360224597,1000472.0589100907
23,1520428.0159241473,999722.9942054998
24,1520434.0475512894,1000485.6330104134
25,1519704.0457737488,1000495.3663674473
26,1520447.7772686088,1000491.8985979743
27,1520463.5800136998,1001058.8423628075
28,1522256.5482770132,1003288.8300553919
29,1522170.2133191049,1003293.1472093401
30,1522275.9976796394,1003280.4322275176
31,1522430.4210448812,1003266.2033003169
32,1520392.0075660779,1003956.5215428885
33,1519756.8195196332,1003957.890440856
34,1519327.8005867728,1002615.1100733316
35,1520612.8543442662,1002557.9478417911
36,1519307.4764547257,1002620.5407784865
37,1519167.1971054955,1002592.747749283
38,1519313.8069092522,1002609.3066701537
39,1519280.6126737094,1002112.6621474063
40,1519328.5506863953,1002618.5879514971
41,1520477.7007962016,1002965.2112869351
42,1522618.5202849123,1002273.582120032
43,1522643.1098120373,1002508.9124144614
44,1522624.0,1002260.5
45,1522854.0,1002260.5
46,1522603.999404188,1002267.4982972147
47,1522436.0664038982,1002267.4697026837
48,1522611.7126760627,1002253.6550423295
49,1522640.7098876487,1002011.2774317256
50,1520513.5505768585,1001343.9140885199
51,1520458.953969506,1001079.4370989067
52,1520522.1837782376,1001363.1051252409
53,1520516.1557592566,1001554.6860181156
54,1519006.624909269,1001383.9554021914
55,1519009.0295422277,1001576.0289693442
56,1518997.9865921652,1001364.6664185929
57,1518952.9926711714,1001079.0318090593
58,1519010.20251802,1001855.1091390359
59,1519002.455612706,1001596.1721941043
60,1519008.5158233417,1001874.0649769101
61,1518736.6541771533,1002098.462546924
62,1519023.8164562385,1001868.9858734196
63,1519278.24973367,1002093.2134736814
64,1521677.4650137136,1001813.7129282821
65,1521702.4525926625,1001551.65562435
66,1521685.0405325554,1001833.3189608627
67,1521714.3910069368,1002016.182705171
68,1521689.7104363733,1001819.7623797429
69,1522122.3843767508,1001787.3331993892
70,1521669.568566332,1001825.8534269962
71,1521313.310451618,1001768.0562328538
72,1521700.0034383081,1001337.8093058731
73,1521709.8735251634,1001531.8681245262
74,1521692.9048760338,1001317.8673691652
75,1521702.9867836935,1001067.3051985156
76,1521686.0383287985,1001331.6076456134
77,1521304.4811656203,1001335.7229472743
78,1521705.8424357886,1001324.078717334
79,1522103.661458556,1001307.1785906347
80,1522600.7429857643,1001279.9116122588
81,1522606.289929686,1001507.1515681141
82,1522593.8998581835,1001259.8689032815
83,1522603.844663021,1001009.6291284114
84,1522587.6343935563,1001274.9533237267
85,1522410.35637529,1001301.71226988
86,1522607.3978177975,1001267.9664353833
87,1522833.551491894,1001300.6525505504
88,1521829.611284534,1003760.9093810098
89,1521459.4010374416,1003815.0170325079
90,1521848.0855660832,1003750.5500010139
91,1522435.7528120016,1003629.1976350576
92,1521847.0746386796,1003749.1406844223
93,1522154.776230427,1003630.6707726894
94,1522668.3774097164,1003260.4668127539
95,1522638.3366787543,1002999.9741314094
96,1522682.5155710098,1003265.3412546368
97,1522855.6560932605,1003244.707928151
98,1522662.981623203,1003273.4470460333
99,1522450.6813433073,1003272.3238560031
100,1520847.2910665865,1002670.4039242835
101,1521196.0801991704,1002548.844022121
102,1520828.5341124742,1002675.352214123
103,1520630.1540010602,1002568.8147468822
104,1520831.1927325574,1002669.8378372622
105,1520515.1158492332,1002079.8026035741
106,1520833.5660846308,1002686.0951945422
107,1520496.1837299918,1002967.7285813341
108,1521735.5412954718,1002297.3890711203
109,1521710.0120828578,1002036.9047044647
110,1521749.7358677217,1002302.8211389463
111,1522131.80913883,1002276.5054059415
112,1521730.1108690659,1002310.8019849241
113,1521322.101649748,1002323.1947883146
114,1521742.545453575,1002317.2844866716
115,1521723.0746126128,1002523.7078689917
116,1521708.051450365,1002771.6506201233
117,1522130.8057072526,1002778.0021697873
118,1521688.2435510224,1002779.1305814784
