link_id,from_node_id,to_node_id,lanes,geometry
0,0,1,1,"LINESTRING(1520490.25911812 1001811.7658626881,1520508.1035592265 1001574.2806416991)"
1,2,3,1,"LINESTRING(1520497.3132266798 1001831.677090245,1520516.1419013452 1002059.0802958879)"
2,4,5,1,"LINESTRING(1522628.4189703073 1001783.6292627663,1522647.9234120192 1001991.4807418329)"
3,6,7,1,"LINESTRING(1522633.6592022246 1001769.6468617776,1522843.7343904607 1001751.3794541049)"
4,8,9,1,"LINESTRING(1522613.8819772291 1001777.1425491582,1522421.3033535783 1001770.2970325642)"
5,10,11,1,"LINESTRING(1522619.697814807 1001764.3179959427,1522600.360402821 1001527.4856598623)"
6,12,13,1,"LINESTRING(1521884.9456327804 1000629.3483717883,1522386.748944309 1000621.7184372467)"
7,14,15,1,"LINESTRING(1521876.1147161375 1000622.4639946881,1522102.8122475464 1000143.5202413051)"
8,16,17,1,"LINESTRING(1521883.6604490865 1000639.1030010341,1522097.0356852121 1000937.82833161)"
9,18,19,1,"LINESTRING(1521865.0699566638 1000636.693810951,1521289.877174337 1000647.8818652346)"
10,20,21,1,"LINESTRING(1520454.3427225365 1000479.7025904737,1521270.2930261076 1000576.5131657763)"
11,22,23,1,"LINESTRING(1520440.3360224597 1000472.0589100907,1520428.0159241473 999722.9942054998)"
12,24,25,1,"LINESTRING(1520434.0475512894 1000485.6330104134,1519704.0457737488 1000495.3663674473)"
13,26,27,1,"LINESTRING(1520447.7772686088 1000491.8985979743,1520463.5800136998 1001058.8423628075)"
14,28,29,1,"LINESTRING(1522256.5482770132 1003288.8300553919,1522170.2133191049 1003293.1472093401)"
15,30,31,1,"LINESTRING(1522275.9976796394 1003280.4322275176,1522430.4210448812 1003266.2033003169)"
16,32,33,1,"LINESTRING(1520392.0075660779 1003956.5215428885,1519756.8195196332 1003957.890440856)"
17,34,35,1,"LINESTRING(1519327.8005867728 1002615.1100733316,1520612.8543442662 1002557.9478417911)"
