node_id,x_coord,y_coord
0,1520490.25911812,1001811.7658626881
1,1520490.7836137328,1001804.7855400342
2,1520491.3081093454,1001797.8052173803
3,1520491.8326049582,1001790.8248947264
4,1520492.357100571,1001783.8445720726
5,1520492.8815961836,1001776.8642494187
6,1520493.4060917965,1001769.8839267648
7,1520493.9305874093,1001762.9036041109
8,1520494.455083022,1001755.923281457
9,1520494.9795786347,1001748.9429588031
10,1520495.5040742476,1001741.9626361494
11,1520496.0285698602,1001734.9823134955
12,1520496.553065473,1001728.0019908416
13,1520497.0775610858,1001721.0216681877
14,1520497.6020566984,1001714.0413455338
15,1520498.1265523112,1001707.0610228799
16,1520498.651047924,1001700.080700226
17,1520499.1755435367,1001693.1003775722
18,1520499.7000391495,1001686.1200549183
19,1520500.224534762,1001679.1397322644
20,1520500.749030375,1001672.1594096106
21,1520501.2735259878,1001665.1790869567
22,1520501.7980216003,1001658.1987643028
23,1520502.3225172132,1001651.218441649
24,1520502.847012826,1001644.2381189951
25,1520503.3715084386,1001637.2577963412
26,1520503.8960040514,1001630.2774736873
27,1520504.4204996643,1001623.2971510334
28,1520504.9449952769,1001616.3168283795
29,1520505.4694908897,1001609.3365057256
30,1520505.9939865025,1001602.3561830719
31,1520506.5184821151,1001595.375860418
32,1520507.042977728,1001588.3955377641
33,1520507.5674733408,1001581.4152151102
34,1520508.1035592265,1001574.2806416991
35,1520497.3132266798,1001831.677090245
36,1520497.890840547,1001838.6532182699
37,1520498.468454414,1001845.6293462949
38,1520499.0460682812,1001852.6054743198
39,1520499.6236821483,1001859.5816023448
40,1520500.2012960154,1001866.5577303697
41,1520500.7789098825,1001873.5338583947
42,1520501.3565237497,1001880.5099864196
43,1520501.9341376168,1001887.4861144446
44,1520502.511751484,1001894.4622424695
45,1520503.089365351,1001901.4383704945
46,1520503.6669792181,1001908.4144985194
47,1520504.2445930853,1001915.3906265444
48,1520504.8222069524,1001922.3667545693
49,1520505.3998208195,1001929.3428825943
50,1520505.9774346866,1001936.3190106192
51,1520506.5550485537,1001943.2951386442
52,1520507.1326624209,1001950.2712666692
53,1520507.710276288,1001957.2473946941
54,1520508.287890155,1001964.223522719
55,1520508.8655040222,1001971.199650744
56,1520509.4431178893,1001978.175778769
57,1520510.0207317565,1001985.1519067939
58,1520510.5983456236,1001992.1280348188
59,1520511.1759594907,1001999.1041628438
60,1520511.7535733578,1002006.0802908688
61,1520512.331187225,1002013.0564188937
62,1520512.908801092,1002020.0325469186
63,1520513.486414959,1002027.0086749436
64,1520514.064028826,1002033.9848029686
65,1520514.6416426932,1002040.9609309935
66,1520515.2192565603,1002047.9370590184
67,1520515.7968704274,1002054.9131870434
68,1520516.1419013452,1002059.0802958879
69,1522628.4189703073,1001783.6292627663
70,1522629.072965708,1001790.598645093
71,1522629.7269611089,1001797.5680274197
72,1522630.3809565096,1001804.5374097464
73,1522631.0349519106,1001811.5067920731
74,1522631.6889473114,1001818.4761743998
75,1522632.3429427121,1001825.4455567265
76,1522632.996938113,1001832.4149390532
77,1522633.6509335137,1001839.3843213799
78,1522634.3049289144,1001846.3537037066
79,1522634.9589243154,1001853.3230860333
80,1522635.6129197162,1001860.29246836
81,1522636.266915117,1001867.2618506867
82,1522636.9209105177,1001874.2312330134
83,1522637.5749059184,1001881.2006153401
84,1522638.2289013192,1001888.1699976668
85,1522638.8828967202,1001895.1393799935
86,1522639.536892121,1001902.1087623202
87,1522640.1908875217,1001909.078144647
88,1522640.8448829225,1001916.0475269736
89,1522641.4988783232,1001923.0169093003
90,1522642.152873724,1001929.986291627
91,1522642.806869125,1001936.9556739538
92,1522643.4608645258,1001943.9250562805
93,1522644.1148599265,1001950.8944386072
94,1522644.7688553273,1001957.8638209339
95,1522645.422850728,1001964.8332032606
96,1522646.0768461288,1001971.8025855873
97,1522646.7308415298,1001978.771967914
98,1522647.3848369305,1001985.7413502407
99,1522647.9234120192,1001991.4807418329
100,1522633.6592022246,1001769.6468617776
101,1522640.632886342,1001769.0404544631
102,1522647.6065704592,1001768.4340471486
103,1522654.5802545766,1001767.827639834
104,1522661.553938694,1001767.2212325194
105,1522668.5276228115,1001766.6148252048
106,1522675.5013069287,1001766.0084178903
107,1522682.4749910461,1001765.4020105758
108,1522689.4486751636,1001764.7956032612
109,1522696.422359281,1001764.1891959467
110,1522703.3960433982,1001763.5827886321
111,1522710.3697275156,1001762.9763813176
