link_id,from_node_id,to_node_id,lanes,geometry
108 101854,108,101854,1,"LINESTRING(1520489.509838673 1001821.7377521936,1520508.8528386732 1001564.3087521936)"
108 101858,108,101858,1,"LINESTRING(1520496.4880640125 1001821.7111930664,1520516.9670640125 1002069.0461930664)"
109 100027,109,100027,1,"LINESTRING(1522627.4846911633 1001773.6730022996,1522648.8576911632 1002001.4370022996)"
109 100038,109,100038,1,"LINESTRING(1522623.6967963427 1001770.5131579413,1522853.6967963427 1001750.5131579413)"
109 100039,109,100039,1,"LINESTRING(1522623.875665404 1001777.4977908612,1522411.3096654038 1001769.9417908612)"
109 100041,109,100041,1,"LINESTRING(1522620.5116088141 1001774.2848279024,1522599.546608814 1001517.5188279025)"
110 100064,110,100064,1,"LINESTRING(1521874.9467885448 1000629.5004045175,1522396.7477885447 1000621.5664045175)"
110 100192,110,100192,1,"LINESTRING(1521871.836481842 1000631.5026179965,1522107.090481842 1000134.4816179966)"
110 100255,110,100255,1,"LINESTRING(1521877.8480671493 1000630.965666322,1522102.8480671493 1000945.965666322)"
110 101842,110,101842,1,"LINESTRING(1521875.0680655004 1000636.4993380927,1521279.8790655003 1000648.0763380928)"
111 100178,111,100178,1,"LINESTRING(1520444.412374322 1000478.524378125,1521280.223374322 1000577.691378125)"
111 100179,111,100179,1,"LINESTRING(1520440.5004733035 1000482.0575577953,1520427.8514733035 999712.9955577953)"
111 101843,111,101843,1,"LINESTRING(1520444.046662519 1000485.4996889303,1519694.046662519 1000495.4996889303)"
111 101846,111,101846,1,"LINESTRING(1520447.4986411543 1000481.9024803909,1520463.8586411544 1001068.8384803908)"
132 100254,132,100254,1,"LINESTRING(1522266.535798059 1003288.330632366,1522160.225798059 1003293.646632366)"
132 101960,132,101960,1,"LINESTRING(1522266.0398622602 1003281.3497639173,1522440.3788622601 1003265.2857639173)"
133 101882,133,101882,1,"LINESTRING(1520402.0075428556 1003956.4999918722,1519746.8195428555 1003957.9119918722)"
134 100288,134,100288,1,"LINESTRING(1519317.8104655195 1002615.5544575613,1520622.8444655195 1002557.5034575614)"
134 101869,134,101869,1,"LINESTRING(1519317.2857801106 1002622.4842638847,1519157.3877801106 1002590.8042638848)"
134 101911,134,101911,1,"LINESTRING(1519314.4737914808 1002619.2844087799,1519279.9457914808 1002102.68440878)"
