name,node_id,zone_id,node_type,ctrl_type,x_coord,y_coord,geometry
,1,0,,,1523373.000000,1003235.000000,"POINT (1523373.000000 1003235.000000)"
,2,0,,,1523873.000000,1003225.000000,"POINT (1523873.000000 1003225.000000)"
,3,0,,,1524263.000000,1003205.000000,"POINT (1524263.000000 1003205.000000)"
,4,0,,,1524224.000000,1002265.000000,"POINT (1524224.000000 1002265.000000)"
,5,0,,,1523854.000000,1002765.000000,"POINT (1523854.000000 1002765.000000)"
,6,0,,,1523354.000000,1002745.000000,"POINT (1523354.000000 1002745.000000)"
,7,0,,,1523324.000000,1002284.000000,"POINT (1523324.000000 1002284.000000)"
,8,0,,,1523844.000000,1002275.000000,"POINT (1523844.000000 1002275.000000)"
,9,0,,,1524695.000000,1001515.000000,"POINT (1524695.000000 1001515.000000)"
,10,0,,,1523804.000000,1001755.000000,"POINT (1523804.000000 1001755.000000)"
,11,0,,,1523374.000000,1001765.000000,"POINT (1523374.000000 1001765.000000)"
,12,0,,,1523304.000000,1001264.000000,"POINT (1523304.000000 1001264.000000)"
,13,0,,,1523815.000000,1001245.000000,"POINT (1523815.000000 1001245.000000)"
,14,0,,,1523402.000000,1004955.000000,"POINT (1523402.000000 1004955.000000)"
,15,0,,,1523952.454000,1004620.162000,"POINT (1523952.454000 1004620.162000)"
,16,0,,,1522041.000000,1011125.000000,"POINT (1522041.000000 1011125.000000)"
,17,0,,,1523748.000000,1012078.000000,"POINT (1523748.000000 1012078.000000)"
,18,0,,,1511204.000000,1011999.000000,"POINT (1511204.000000 1011999.000000)"
,19,0,,,1523309.000000,1009956.000000,"POINT (1523309.000000 1009956.000000)"
,20,0,,,1524720.000000,1009927.000000,"POINT (1524720.000000 1009927.000000)"
,21,0,,,1524681.000000,1007287.000000,"POINT (1524681.000000 1007287.000000)"
,22,0,,,1523211.000000,1007546.000000,"POINT (1523211.000000 1007546.000000)"
,23,0,,,1522100.000000,1007725.000000,"POINT (1522100.000000 1007725.000000)"
,24,0,,,1514001.000000,1019473.000000,"POINT (1514001.000000 1019473.000000)"
,25,0,,,1520931.000000,1021918.000000,"POINT (1520931.000000 1021918.000000)"
,26,0,,,1525292.000000,1022231.000000,"POINT (1525292.000000 1022231.000000)"
,27,0,,,1530894.000000,1021975.000000,"POINT (1530894.000000 1021975.000000)"
,28,0,,,1524925.000000,1016980.000000,"POINT (1524925.000000 1016980.000000)"
,29,0,,,1520967.000000,1017101.000000,"POINT (1520967.000000 1017101.000000)"
,30,0,,,1507425.000000,1024921.000000,"POINT (1507425.000000 1024921.000000)"
,31,0,,,1513827.000000,1024725.000000,"POINT (1513827.000000 1024725.000000)"
,32,0,,,1519421.348000,1027000.820000,"POINT (1519421.348000 1027000.820000)"
,33,0,,,1528420.000000,1027515.000000,"POINT (1528420.000000 1027515.000000)"
,34,0,,,1525423.000000,1005196.000000,"POINT (1525423.000000 1005196.000000)"
,35,0,,,1525674.000000,1003396.000000,"POINT (1525674.000000 1003396.000000)"
,36,0,,,1526310.000000,1010389.000000,"POINT (1526310.000000 1010389.000000)"
,37,0,,,1525471.000000,1007787.000000,"POINT (1525471.000000 1007787.000000)"
,38,0,,,1527361.000000,1007748.000000,"POINT (1527361.000000 1007748.000000)"
,39,0,,,1530722.073000,1010795.080000,"POINT (1530722.073000 1010795.080000)"
,40,0,,,1529813.000000,1006220.000000,"POINT (1529813.000000 1006220.000000)"
,41,0,,,1508488.000000,1001637.000000,"POINT (1508488.000000 1001637.000000)"
,42,0,,,1528345.000000,1003328.000000,"POINT (1528345.000000 1003328.000000)"
,43,0,,,1529627.000000,1016182.000000,"POINT (1529627.000000 1016182.000000)"
,44,0,,,1537870.000000,1013607.000000,"POINT (1537870.000000 1013607.000000)"
,45,0,,,1541263.000000,1011698.000000,"POINT (1541263.000000 1011698.000000)"
,46,0,,,1538323.502000,1007384.282000,"POINT (1538323.502000 1007384.282000)"
,47,0,,,1537052.000000,1025750.000000,"POINT (1537052.000000 1025750.000000)"
,48,0,,,1547583.000000,1027882.000000,"POINT (1547583.000000 1027882.000000)"
,49,0,,,1550594.000000,1022186.000000,"POINT (1550594.000000 1022186.000000)"
,50,0,,,1550372.000000,1016409.000000,"POINT (1550372.000000 1016409.000000)"
,51,0,,,1550657.000000,1011827.000000,"POINT (1550657.000000 1011827.000000)"
,52,0,,,1543746.000000,1005428.000000,"POINT (1543746.000000 1005428.000000)"
,53,0,,,1525964.000000,1002456.000000,"POINT (1525964.000000 1002456.000000)"
,54,0,,,1524945.000000,1001756.000000,"POINT (1524945.000000 1001756.000000)"
,55,0,,,1526576.000000,1000136.000000,"POINT (1526576.000000 1000136.000000)"
,56,0,,,1527987.000000,999027.000000,"POINT (1527987.000000 999027.000000)"
,57,0,,,1529216.000000,1002028.000000,"POINT (1529216.000000 1002028.000000)"
,58,0,,,1530866.000000,999978.000000,"POINT (1530866.000000 999978.000000)"
,59,0,,,1528828.000000,1000599.000000,"POINT (1528828.000000 1000599.000000)"
,60,0,,,1529628.000000,997957.000000,"POINT (1529628.000000 997957.000000)"
