              A,B,DISTANCE,STREET,ONEWAY,TAZID,LINKID,LANES,FT,SFF,SFF_TIME,CAP1HR1LN,Length,geometry
1285,5018,0.238400,Cent,2,1285,1285_5018,7,1,21.176470,0.675470,10000.000000,0.000000,"LINESTRING (-111.943375 40.616454 ,-111.938855 40.616737)",
1286,11125,0.465960,Cent,2,1286,1286_11125,7,1,21.176470,1.320220,10000.000000,0.000000,"LINESTRING (-111.934202 40.630776 ,-111.933970 40.624024)",
1289,4952,0.242690,Cent,2,1289,1289_4952,7,1,21.176470,0.687620,10000.000000,0.000000,"LINESTRING (-111.933868 40.616707 ,-111.929251 40.616674)",
1289,5018,0.262130,Cent,2,1289,1289_5018,7,1,21.176470,0.742700,10000.000000,0.000000,"LINESTRING (-111.933868 40.616707 ,-111.938855 40.616737)",
1289,11124,0.506880,Cent,2,1289,1289_11124,7,1,21.176470,1.436160,10000.000000,0.000000,"LINESTRING (-111.933868 40.616707 ,-111.931819 40.609526)",
1289,11125,0.504720,Cent,2,1289,1289_11125,7,1,21.176470,1.430040,10000.000000,0.000000,"LINESTRING (-111.933868 40.616707 ,-111.933970 40.624024)",
1290,4952,0.251620,Cent,2,1290,1290_4952,7,1,21.176470,0.712920,10000.000000,0.000000,"LINESTRING (-111.924502 40.617134 ,-111.929251 40.616674)",
1296,5240,0.205610,Cent,2,1296,1296_5240,7,1,21.176470,0.582560,10000.000000,0.000000,"LINESTRING (-111.915638 40.613722 ,-111.911929 40.614669)",
1299,4958,0.198750,Cent,2,1299,1299_4958,7,1,21.176470,0.563130,10000.000000,0.000000,"LINESTRING (-111.908054 40.616174 ,-111.910232 40.618529)",
1299,11129,0.363670,Cent,2,1299,1299_11129,7,1,21.176470,1.030400,10000.000000,0.000000,"LINESTRING (-111.908054 40.616174 ,-111.907639 40.610911)",
1314,11146,0.275780,Cent,2,1314,1314_11146,7,1,21.176470,0.781380,10000.000000,0.000000,"LINESTRING (-111.944074 40.606326 ,-111.938858 40.605898)",
1316,11148,0.260810,Cent,2,1316,1316_11148,7,1,21.176470,0.738960,10000.000000,0.000000,"LINESTRING (-111.943565 40.598006 ,-111.938793 40.599039)",
1318,11160,0.238350,Cent,2,1318,1318_11160,7,1,21.176470,0.675330,10000.000000,0.000000,"LINESTRING (-111.943411 40.590891 ,-111.938878 40.590844)",
1319,11124,0.205360,Cent,2,1319,1319_11124,7,1,21.176470,0.581850,10000.000000,0.000000,"LINESTRING (-111.934408 40.607297 ,-111.931819 40.609526)",
1320,5820,0.344520,Cent,2,1320,1320_5820,7,1,21.176470,0.976140,10000.000000,0.000000,"LINESTRING (-111.934152 40.599993 ,-111.929267 40.603321)",
1320,11148,0.252710,Cent,2,1320,1320_11148,7,1,21.176470,0.716010,10000.000000,0.000000,"LINESTRING (-111.934152 40.599993 ,-111.938793 40.599039)",
1322,5589,0.222930,Cent,2,1322,1322_5589,7,1,21.176470,0.631640,10000.000000,0.000000,"LINESTRING (-111.934349 40.591006 ,-111.934063 40.587781)",
1322,11161,0.266980,Cent,2,1322,1322_11161,7,1,21.176470,0.756440,10000.000000,0.000000,"LINESTRING (-111.934349 40.591006 ,-111.929272 40.591047)",
1323,5592,0.269720,Cent,2,1323,1323_5592,7,1,21.176470,0.764210,10000.000000,0.000000,"LINESTRING (-111.921418 40.591609 ,-111.922175 40.587742)",
1325,10853,0.158260,Cent,2,1325,1325_10853,7,1,16.216220,0.585560,10000.000000,0.000000,"LINESTRING (-111.907451 40.592344 ,-111.904442 40.592385)",
1346,11172,0.251770,Cent,2,1346,1346_11172,7,1,21.176470,0.713350,10000.000000,0.000000,"LINESTRING (-111.943605 40.584092 ,-111.938819 40.584171)",
1348,5210,0.252530,Cent,2,1348,1348_5210,7,1,21.176470,0.715500,10000.000000,0.000000,"LINESTRING (-111.943542 40.576985 ,-111.938741 40.576961)",
1349,5210,0.230910,Cent,2,1349,1349_5210,7,1,21.176470,0.654250,10000.000000,0.000000,"LINESTRING (-111.934352 40.576870 ,-111.938741 40.576961)",
1349,5219,0.272610,Cent,2,1349,1349_5219,7,1,21.176470,0.772400,10000.000000,0.000000,"LINESTRING (-111.934352 40.576870 ,-111.929172 40.576740)",
1349,11181,0.309110,Cent,2,1349,1349_11181,7,1,21.176470,0.875810,10000.000000,0.000000,"LINESTRING (-111.934352 40.576870 ,-111.931031 40.573173)",
1351,5209,0.252410,Cent,2,1351,1351_5209,7,1,21.176470,0.715160,10000.000000,0.000000,"LINESTRING (-111.943535 40.568001 ,-111.938738 40.568083)",
1352,5209,0.251590,Cent,2,1352,1352_5209,7,1,21.176470,0.712840,10000.000000,0.000000,"LINESTRING (-111.933963 40.567876 ,-111.938738 40.568083)",
1352,6256,0.254010,Cent,2,1352,1352_6256,7,1,21.176470,0.719690,10000.000000,0.000000,"LINESTRING (-111.933963 40.567876 ,-111.929139 40.568044)",
1352,11181,0.396600,Cent,2,1352,1352_11181,7,1,21.176470,1.123700,10000.000000,0.000000,"LINESTRING (-111.933963 40.567876 ,-111.931031 40.573173)",
1352,11261,0.386260,Cent,2,1352,1352_11261,7,1,21.176470,1.094400,10000.000000,0.000000,"LINESTRING (-111.933963 40.567876 ,-111.934612 40.562298)",
1353,5589,0.256390,Cent,2,1353,1353_5589,7,1,21.176470,0.726440,10000.000000,0.000000,"LINESTRING (-111.934266 40.584068 ,-111.934063 40.587781)",
1353,11172,0.239520,Cent,2,1353,1353_11172,7,1,21.176470,0.678640,10000.000000,0.000000,"LINESTRING (-111.934266 40.584068 ,-111.938819 40.584171)",
1353,11173,0.264830,Cent,2,1353,1353_11173,7,1,21.176470,0.750350,10000.000000,0.000000,"LINESTRING (-111.934266 40.584068 ,-111.929246 40.584369)",
1354,5592,0.262740,Cent,2,1354,1354_5592,7,1,16.216220,0.972140,10000.000000,0.000000,"LINESTRING (-111.923428 40.584054 ,-111.922175 40.587742)",
1354,11173,0.306730,Cent,2,1354,1354_11173,7,1,16.216220,1.134900,10000.000000,0.000000,"LINESTRING (-111.923428 40.584054 ,-111.929246 40.584369)",
1355,5219,0.232860,Cent,2,1355,1355_5219,7,1,21.176470,0.659770,10000.000000,0.000000,"LINESTRING (-111.924746 40.576632 ,-111.929172 40.576740)",
1355,11183,0.295150,Cent,2,1355,1355_11183,7,1,21.176470,0.836260,10000.000000,0.000000,"LINESTRING (-111.924746 40.576632 ,-111.923406 40.572477)",
1356,6255,0.252690,Cent,2,1356,1356_6255,7,1,21.176470,0.715950,10000.000000,0.000000,"LINESTRING (-111.924114 40.567177 ,-111.919626 40.565871)",
1356,6256,0.271010,Cent,2,1356,1356_6256,7,1,21.176470,0.767860,10000.000000,0.000000,"LINESTRING (-111.924114 40.567177 ,-111.929139 40.568044)",
1356,11183,0.367410,Cent,2,1356,1356_11183,7,1,21.176470,1.041000,10000.000000,0.000000,"LINESTRING (-111.924114 40.567177 ,-111.923406 40.572477)",
1356,11259,0.382270,Cent,2,1356,1356_11259,7,1,21.176470,1.083100,10000.000000,0.000000,"LINESTRING (-111.924114 40.567177 ,-111.926737 40.562009)",
