road_link_id,name,from_node_id,to_node_id,facility_type,link_type,direction,length,lanes,free_speed,capacity,demand_type_code,geometry,
3073296,,108,101854,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1520489.509839 1001821.737752 ,1520508.852839 1001564.308752 )"
3073296,,108,101858,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1520496.488064 1001821.711193 ,1520516.967064 1002069.046193 )"
3073296,,109,100027,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522627.484691 1001773.673002 ,1522648.857691 1002001.437002 )"
3073296,,109,100038,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522623.696796 1001770.513158 ,1522853.696796 1001750.513158 )"
3073296,,109,100039,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522623.875665 1001777.497791 ,1522411.309665 1001769.941791 )"
3073296,,109,100041,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522620.511609 1001774.284828 ,1522599.546609 1001517.518828 )"
3073296,,110,100064,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1521874.946789 1000629.500405 ,1522396.747789 1000621.566405 )"
3073296,,110,100192,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1521871.836482 1000631.502618 ,1522107.090482 1000134.481618 )"
3073296,,110,100255,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1521877.848067 1000630.965666 ,1522102.848067 1000945.965666 )"
3073296,,110,101842,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1521875.068066 1000636.499338 ,1521279.879066 1000648.076338 )"
3073296,,111,100178,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1520444.412374 1000478.524378 ,1521280.223374 1000577.691378 )"
3073296,,111,100179,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1520440.500473 1000482.057558 ,1520427.851473 999712.995558 )"
3073296,,111,101843,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1520444.046663 1000485.499689 ,1519694.046663 1000495.499689 )"
3073296,,111,101846,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1520447.498641 1000481.902480 ,1520463.858641 1001068.838480 )"
3073296,,132,100254,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522266.535798 1003288.330632 ,1522160.225798 1003293.646632 )"
3073296,,132,101960,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522266.039862 1003281.349764 ,1522440.378862 1003265.285764 )"
3073296,,133,101882,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1520402.007543 1003956.499992 ,1519746.819543 1003957.911992 )"
3073296,,134,100288,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1519317.810466 1002615.554458 ,1520622.844466 1002557.503458 )"
3073296,,134,101869,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1519317.285780 1002622.484264 ,1519157.387780 1002590.804264 )"
3073296,,134,101911,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1519314.473791 1002619.284409 ,1519279.945791 1002102.684409 )"
3073296,,134,102000,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1519318.976741 1002615.700119 ,1520487.274741 1002968.099119 )"
3073296,,135,100011,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522617.481048 1002263.636267 ,1522644.149048 1002518.858267 )"
3073296,,135,100024,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522614.000000 1002260.500000 ,1522864.000000 1002260.500000 )"
3073296,,135,100025,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522613.999404 1002267.500000 ,1522426.066404 1002267.468000 )"
3073296,,135,100027,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522610.524782 1002263.584237 ,1522641.897782 1002001.348237 )"
3073296,,175,101846,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1520515.572273 1001353.707594 ,1520456.932273 1001069.643594 )"
3073296,,175,101854,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1520522.498269 1001353.110072 ,1520515.841269 1001564.681072 )"
3073296,,176,100271,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1519006.499726 1001373.956186 ,1519009.154726 1001586.028186 )"
3073296,,176,100272,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1518999.542632 1001374.544614 ,1518951.436632 1001069.153614 )"
3073296,,177,100271,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1519010.501565 1001865.104667 ,1519002.156565 1001586.176667 )"
3073296,,177,101778,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1519016.228000 1001867.699262 ,1518728.942000 1002104.828262 )"
3073296,,177,101911,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1519016.314095 1001862.374174 ,1519285.752095 1002099.825174 )"
3073296,,178,100273,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1521676.515803 1001823.667776 ,1521703.401803 1001541.700776 )"
3073296,,178,100275,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1521683.455770 1001823.445333 ,1521715.975770 1002026.056333 )"
3073296,,178,100277,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1521679.738407 1001820.509790 ,1522132.356407 1001786.585790 )"
3073296,,178,101856,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1521679.439509 1001827.454830 ,1521303.439509 1001766.454830 )"
3073296,,179,100273,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1521699.495482 1001327.822215 ,1521710.381482 1001541.855215 )"
3073296,,179,100274,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1521692.502830 1001327.859284 ,1521703.388830 1001057.313284 )"
3073296,,179,100278,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1521696.037747 1001331.499796 ,1521294.481747 1001335.830796 )"
3073296,,179,100279,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1521695.851447 1001324.503154 ,1522113.652447 1001306.754154 )"
3073296,,180,100041,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522600.498958 1001269.914590 ,1522606.533958 1001517.148590 )"
3073296,,180,100276,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522593.502761 1001269.861016 ,1522604.241761 1000999.637016 )"
3073296,,180,100280,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522597.522384 1001273.460797 ,1522400.468384 1001303.204797 )"
3073296,,180,100281,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522597.500655 1001266.535993 ,1522843.448655 1001302.082993 )"
3073296,,181,100163,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1521839.506161 1003759.463207 ,1521449.506161 1003816.463207 )"
3073296,,181,102006,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1521838.292189 1003752.572318 ,1522445.546189 1003627.175318 )"
3073296,,181,102013,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1521837.742435 1003752.733729 ,1522164.108435 1003627.077729 )"
3073296,,182,100283,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522669.523044 1003270.400972 ,1522637.191044 1002990.039972 )"
3073296,,182,100284,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522672.585832 1003266.524591 ,1522865.585832 1003243.524591 )"
3073296,,182,101960,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522672.981483 1003273.499951 ,1522440.681483 1003272.270951 )"
3073296,,184,100165,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1520837.848133 1002673.694973 ,1521205.523133 1002545.552973 )"
3073296,,184,100288,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1520837.344057 1002680.083481 ,1520621.344057 1002564.083481 )"
3073296,,184,101858,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1520835.914791 1002678.652720 ,1520510.393791 1002070.987720 )"
3073296,,184,102000,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1520841.242907 1002679.686888 ,1520488.506907 1002974.136888 )"
3073296,,185,100275,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1521736.516689 1002307.341388 ,1521709.036689 1002026.952388 )"
3073296,,185,100291,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1521739.759503 1002303.508272 ,1522141.785503 1002275.818272 )"
3073296,,185,100292,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1521740.106259 1002310.498387 ,1521312.106259 1002323.498387 )"
3073296,,185,100295,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1521743.484533 1002307.328678 ,1521722.135533 1002533.663678 )"
3073296,,186,100293,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1521698.052579 1002771.500395 ,1522140.804579 1002778.152395 )"
3073296,,186,100294,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1521698.223197 1002778.492876 ,1521329.588197 1002802.048876 )"
3073296,,186,100295,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1521694.512709 1002774.702001 ,1521715.163709 1002533.037001 )"
3073296,,186,100296,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1521701.478580 1002774.613371 ,1521727.268580 1003006.651371 )"
3073296,,187,100011,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522625.503937 1002764.834029 ,1522637.171937 1002519.056029 )"
3073296,,187,100283,,1,1,1.00000,1,60.0,2000.0,"","LINESTRING (1522632.495288 1002764.818451 ,1522644.163288 1002989.457451 )"
